"Befolkning efter region, utbildningsnivå och år"
"1440 Ale" "eftergymnasial utbildning, 3 år eller mer" 1488 1982 2368 2864
"1441 Lerum" "eftergymnasial utbildning, 3 år eller mer" 3675 4491 5239 6130
"1442 Vårgårda" "eftergymnasial utbildning, 3 år eller mer" 547 714 819 950
"1443 Bollebygd" "eftergymnasial utbildning, 3 år eller mer" 516 705 815 923
"1444 Grästorp" "eftergymnasial utbildning, 3 år eller mer" 312 378 427 481
"1445 Essunga" "eftergymnasial utbildning, 3 år eller mer" 229 277 323 369
"1446 Karlsborg" "eftergymnasial utbildning, 3 år eller mer" 547 628 715 765
"1447 Gullspång" "eftergymnasial utbildning, 3 år eller mer" 226 273 307 349
"1452 Tranemo" "eftergymnasial utbildning, 3 år eller mer" 505 627 746 856
"1460 Bengtsfors" "eftergymnasial utbildning, 3 år eller mer" 430 522 604 678
"1461 Mellerud" "eftergymnasial utbildning, 3 år eller mer" 399 509 585 646
"1462 Lilla Edet" "eftergymnasial utbildning, 3 år eller mer" 529 657 775 955
"1463 Mark" "eftergymnasial utbildning, 3 år eller mer" 1786 2255 2740 3002
"1465 Svenljunga" "eftergymnasial utbildning, 3 år eller mer" 407 497 575 624
"1466 Herrljunga" "eftergymnasial utbildning, 3 år eller mer" 408 523 649 751
"1470 Vara" "eftergymnasial utbildning, 3 år eller mer" 619 808 962 1055
"1471 Götene" "eftergymnasial utbildning, 3 år eller mer" 686 871 1038 1167
"1472 Tibro" "eftergymnasial utbildning, 3 år eller mer" 517 614 712 799
"1473 Töreboda" "eftergymnasial utbildning, 3 år eller mer" 407 517 588 662
"1480 Göteborg" "eftergymnasial utbildning, 3 år eller mer" 68462 82465 95308 109342
"1481 Mölndal" "eftergymnasial utbildning, 3 år eller mer" 7308 8610 9962 11318
"1482 Kungälv" "eftergymnasial utbildning, 3 år eller mer" 3200 3877 4680 5336
"1484 Lysekil" "eftergymnasial utbildning, 3 år eller mer" 1047 1233 1359 1450
"1485 Uddevalla" "eftergymnasial utbildning, 3 år eller mer" 3962 4952 5727 6504
"1486 Strömstad" "eftergymnasial utbildning, 3 år eller mer" 771 904 1071 1266
"1487 Vänersborg" "eftergymnasial utbildning, 3 år eller mer" 3086 3674 3954 4422
"1488 Trollhättan" "eftergymnasial utbildning, 3 år eller mer" 3992 4963 5812 6758
"1489 Alingsås" "eftergymnasial utbildning, 3 år eller mer" 3188 3934 4554 5221
"1490 Borås" "eftergymnasial utbildning, 3 år eller mer" 7321 9226 10919 12751
"1491 Ulricehamn" "eftergymnasial utbildning, 3 år eller mer" 1298 1669 1957 2191
"1492 Åmål" "eftergymnasial utbildning, 3 år eller mer" 744 880 974 1059
"1493 Mariestad" "eftergymnasial utbildning, 3 år eller mer" 1579 1962 2202 2459
"1494 Lidköping" "eftergymnasial utbildning, 3 år eller mer" 2833 3612 4100 4635
"1495 Skara" "eftergymnasial utbildning, 3 år eller mer" 1206 1484 1660 1881
"1496 Skövde" "eftergymnasial utbildning, 3 år eller mer" 4311 5497 6315 7223
"1497 Hjo" "eftergymnasial utbildning, 3 år eller mer" 610 753 865 942
"1498 Tidaholm" "eftergymnasial utbildning, 3 år eller mer" 572 699 807 910
"1499 Falköping" "eftergymnasial utbildning, 3 år eller mer" 1868 2333 2657 2916
"1715 Kil" "eftergymnasial utbildning, 3 år eller mer" 754 929 1048 1218
"1730 Eda" "eftergymnasial utbildning, 3 år eller mer" 305 353 426 470
"1737 Torsby" "eftergymnasial utbildning, 3 år eller mer" 612 731 866 909
"1760 Storfors" "eftergymnasial utbildning, 3 år eller mer" 218 229 250 250
"1761 Hammarö" "eftergymnasial utbildning, 3 år eller mer" 1401 1722 2179 2519
"1762 Munkfors" "eftergymnasial utbildning, 3 år eller mer" 151 162 174 190
"1763 Forshaga" "eftergymnasial utbildning, 3 år eller mer" 601 780 913 1022
"1764 Grums" "eftergymnasial utbildning, 3 år eller mer" 337 433 502 551
"1765 Årjäng" "eftergymnasial utbildning, 3 år eller mer" 411 500 573 615
"1766 Sunne" "eftergymnasial utbildning, 3 år eller mer" 714 924 1052 1202
"1780 Karlstad" "eftergymnasial utbildning, 3 år eller mer" 9580 11764 13308 14932
