"Sammanräknad förvärvsinkomst, medianinkomst för boende i Sverige den 31/12, tkr efter region, ålder och år"

"region" "ålder" "2002" "2006" "2010" "2014"
"2039 Älvdalen" "totalt 20+ år" 165.1 185.0 203.4 221.5
"2061 Smedjebacken" "totalt 20+ år" 186.9 208.0 224.5 249.2
"2062 Mora" "totalt 20+ år" 181.1 202.6 221.0 244.8
"2080 Falun" "totalt 20+ år" 187.7 212.5 235.4 261.3
"2081 Borlänge" "totalt 20+ år" 184.9 207.1 225.9 246.6
"2082 Säter" "totalt 20+ år" 183.0 206.1 231.4 252.8
"2083 Hedemora" "totalt 20+ år" 177.7 197.6 219.7 234.6
"2084 Avesta" "totalt 20+ år" 184.4 206.2 227.2 242.0
"2085 Ludvika" "totalt 20+ år" 179.7 200.5 223.5 244.1
"2101 Ockelbo" "totalt 20+ år" 167.8 193.2 213.4 225.3
"2104 Hofors" "totalt 20+ år" 186.0 208.5 227.6 247.6
"2121 Ovanåker" "totalt 20+ år" 169.3 196.2 212.9 228.2
"2132 Nordanstig" "totalt 20+ år" 170.0 188.4 205.0 224.0
"2161 Ljusdal" "totalt 20+ år" 170.7 190.5 204.4 224.5
"2180 Gävle" "totalt 20+ år" 186.7 209.2 233.7 251.4
"2181 Sandviken" "totalt 20+ år" 186.6 211.3 228.7 244.9
"2182 Söderhamn" "totalt 20+ år" 176.7 191.4 209.8 228.3
"2183 Bollnäs" "totalt 20+ år" 172.7 192.8 211.3 228.4
"2184 Hudiksvall" "totalt 20+ år" 177.6 197.5 220.4 241.0
"2260 Ånge" "totalt 20+ år" 173.3 192.9 211.7 231.9
"2262 Timrå" "totalt 20+ år" 191.0 210.1 231.6 250.7
"2280 Härnösand" "totalt 20+ år" 184.0 202.9 222.6 235.7
"2281 Sundsvall" "totalt 20+ år" 193.5 216.9 240.1 263.8
"2282 Kramfors" "totalt 20+ år" 172.7 193.9 209.7 225.6
"2283 Sollefteå" "totalt 20+ år" 171.4 191.2 206.3 222.9
"2284 Örnsköldsvik" "totalt 20+ år" 185.2 210.3 233.4 253.8
"2303 Ragunda" "totalt 20+ år" 166.1 186.4 198.6 219.5
"2305 Bräcke" "totalt 20+ år" 169.4 189.1 203.6 218.7
"2309 Krokom" "totalt 20+ år" 178.7 200.8 224.9 253.6
"2313 Strömsund" "totalt 20+ år" 163.2 185.0 198.9 216.2
"2321 Åre" "totalt 20+ år" 166.6 193.4 214.2 230.9
"2326 Berg" "totalt 20+ år" 161.7 181.8 195.3 218.5
"2361 Härjedalen" "totalt 20+ år" 166.2 183.1 200.9 221.0
"2380 Östersund" "totalt 20+ år" 186.5 207.5 228.7 248.7
"2401 Nordmaling" "totalt 20+ år" 173.1 192.2 214.7 229.9
"2403 Bjurholm" "totalt 20+ år" 158.6 176.3 190.6 208.8
"2404 Vindeln" "totalt 20+ år" 163.0 186.4 204.0 228.1
"2409 Robertsfors" "totalt 20+ år" 173.9 195.9 217.0 241.0
"2417 Norsjö" "totalt 20+ år" 172.1 195.1 211.8 235.9
"2418 Malå" "totalt 20+ år" 181.9 208.0 224.2 247.8
"2421 Storuman" "totalt 20+ år" 166.0 185.6 207.9 222.3
"2422 Sorsele" "totalt 20+ år" 160.6 183.2 196.6 222.3
"2425 Dorotea" "totalt 20+ år" 163.1 186.2 202.6 219.3
"2460 Vännäs" "totalt 20+ år" 179.0 201.1 228.2 249.0
"2462 Vilhelmina" "totalt 20+ år" 166.1 185.3 199.8 217.7
"2463 Åsele" "totalt 20+ år" 159.9 175.2 193.7 212.0
"2480 Umeå" "totalt 20+ år" 187.8 210.1 233.7 257.5
"2481 Lycksele" "totalt 20+ år" 178.2 199.4 222.6 241.9
"2482 Skellefteå" "totalt 20+ år" 183.1 205.6 231.0 252.9
"2505 Arvidsjaur" "totalt 20+ år" 174.8 197.7 222.1 242.9
"2506 Arjeplog" "totalt 20+ år" 170.4 187.0 212.2 234.2
"2510 Jokkmokk" "totalt 20+ år" 171.4 192.1 211.5 234.6
"2513 Överkalix" "totalt 20+ år" 164.8 185.1 199.8 222.2
"2514 Kalix" "totalt 20+ år" 178.6 199.3 220.2 241.5
"2518 Övertorneå" "totalt 20+ år" 160.6 183.5 199.7 215.1
"2521 Pajala" "totalt 20+ år" 159.3 180.1 198.4 233.1
"2523 Gällivare" "totalt 20+ år" 192.6 218.2 250.5 283.5
"2560 Älvsbyn" "totalt 20+ år" 174.2 193.6 211.3 232.8
"2580 Luleå" "totalt 20+ år" 191.1 212.3 238.3 265.3
"2581 Piteå" "totalt 20+ år" 187.1 209.2 235.7 258.7
"2582 Boden" "totalt 20+ år" 185.1 205.0 227.4 251.6
"2583 Haparanda" "totalt 20+ år" 161.2 180.4 195.0 209.7
"2584 Kiruna" "totalt 20+ år" 199.2 227.6 261.9 299.5
