"region" "ålder" "år"
"0684 Sävsjö" "55-64 år" 1313 1473 1493 1353
"0685 Vetlanda" "25-34 år" 2846 2598 2502 2727
"0685 Vetlanda" "35-44 år" 3423 3519 3329 3049
"0685 Vetlanda" "45-54 år" 3608 3384 3449 3573
"0685 Vetlanda" "55-64 år" 3420 3716 3619 3371
"0686 Eksjö" "25-34 år" 1696 1520 1549 1747
"0686 Eksjö" "35-44 år" 2095 2092 1942 1812
"0686 Eksjö" "45-54 år" 2465 2308 2123 2168
"0686 Eksjö" "55-64 år" 2098 2350 2414 2330
"0687 Tranås" "25-34 år" 2084 1791 1734 1945
"0687 Tranås" "35-44 år" 2208 2362 2383 2116
"0687 Tranås" "45-54 år" 2207 2106 2168 2333
"0687 Tranås" "55-64 år" 2333 2424 2275 2134
"0760 Uppvidinge" "25-34 år" 1000 913 862 924
"0760 Uppvidinge" "35-44 år" 1179 1224 1156 1063
"0760 Uppvidinge" "45-54 år" 1267 1182 1189 1237
"0760 Uppvidinge" "55-64 år" 1250 1332 1308 1165
"0761 Lessebo" "25-34 år" 809 792 743 801
"0761 Lessebo" "35-44 år" 1056 1021 1024 957
"0761 Lessebo" "45-54 år" 1146 1017 1054 1041
"0761 Lessebo" "55-64 år" 1121 1261 1148 1028
"0763 Tingsryd" "25-34 år" 1247 1095 1011 1093
"0763 Tingsryd" "35-44 år" 1541 1541 1385 1255
"0763 Tingsryd" "45-54 år" 1830 1671 1622 1613
"0763 Tingsryd" "55-64 år" 1699 1850 1806 1741
"0764 Alvesta" "25-34 år" 1931 1885 1997 2106
"0764 Alvesta" "35-44 år" 2434 2362 2296 2352
"0764 Alvesta" "45-54 år" 2782 2613 2451 2404
"0764 Alvesta" "55-64 år" 2273 2613 2688 2572
"0765 Älmhult" "25-34 år" 1774 1642 1716 1814
"0765 Älmhult" "35-44 år" 2073 2155 2094 2081
"0765 Älmhult" "45-54 år" 2068 1961 2007 2125
"0765 Älmhult" "55-64 år" 1876 2043 2056 1921
"0767 Markaryd" "25-34 år" 997 982 920 964
"0767 Markaryd" "35-44 år" 1184 1255 1166 1080
"0767 Markaryd" "45-54 år" 1304 1225 1194 1265
"0767 Markaryd" "55-64 år" 1340 1435 1375 1222
"0780 Växjö" "25-34 år" 10415 10836 11248 12055
"0780 Växjö" "35-44 år" 9721 10397 10845 10791
"0780 Växjö" "45-54 år" 10029 9485 9820 10604
"0780 Växjö" "55-64 år" 9060 10122 10071 9526
"0781 Ljungby" "25-34 år" 3149 2818 2798 2929
"0781 Ljungby" "35-44 år" 3709 3764 3570 3278
"0781 Ljungby" "45-54 år" 3532 3522 3683 3830
"0781 Ljungby" "55-64 år" 3501 3713 3585 3470
"0821 Högsby" "25-34 år" 515 500 498 533
"0821 Högsby" "35-44 år" 770 689 584 594
