region,parti,procent
0584 Vadstena,Centerpartiet,6.8
0584 Vadstena,Folkpartiet,3.8
0584 Vadstena,Kristdemokraterna,5.8
0584 Vadstena,Miljöpartiet,6.2
0584 Vadstena,Socialdemokraterna,33.2
0584 Vadstena,Vänsterpartiet,3.8
0584 Vadstena,Sverigedemokraterna,12.5
0584 Vadstena,övriga partier,2.9
0584 Vadstena,ogiltiga valsedlar,..
0584 Vadstena,ej röstande,..
0586 Mjölby,Moderaterna,21
0586 Mjölby,Centerpartiet,6.4
0586 Mjölby,Folkpartiet,4.3
0586 Mjölby,Kristdemokraterna,4.8
0586 Mjölby,Miljöpartiet,4.3
0586 Mjölby,Socialdemokraterna,37.7
0586 Mjölby,Vänsterpartiet,4.3
0586 Mjölby,Sverigedemokraterna,14.9
0586 Mjölby,övriga partier,2.3
0586 Mjölby,ogiltiga valsedlar,..
0586 Mjölby,ej röstande,..
0604 Aneby,Moderaterna,16.8
0604 Aneby,Centerpartiet,12.3
0604 Aneby,Folkpartiet,2.9
0604 Aneby,Kristdemokraterna,13.5
0604 Aneby,Miljöpartiet,4.8
0604 Aneby,Socialdemokraterna,29.1
0604 Aneby,Vänsterpartiet,2.6
0604 Aneby,Sverigedemokraterna,16.5
0604 Aneby,övriga partier,1.4
0604 Aneby,ogiltiga valsedlar,..
0604 Aneby,ej röstande,..
0617 Gnosjö,Moderaterna,20.7
0617 Gnosjö,Centerpartiet,8.5
0617 Gnosjö,Folkpartiet,2.9
0617 Gnosjö,Kristdemokraterna,14.2
0617 Gnosjö,Miljöpartiet,3.4
0617 Gnosjö,Socialdemokraterna,30.5
0617 Gnosjö,Vänsterpartiet,2.6
0617 Gnosjö,Sverigedemokraterna,15.9
0617 Gnosjö,övriga partier,1.2
0617 Gnosjö,ogiltiga valsedlar,..
0617 Gnosjö,ej röstande,..
0642 Mullsjö,Moderaterna,16.7
0642 Mullsjö,Centerpartiet,5.1
0642 Mullsjö,Folkpartiet,3.4
0642 Mullsjö,Kristdemokraterna,17
0642 Mullsjö,Miljöpartiet,6
0642 Mullsjö,Socialdemokraterna,28.6
0642 Mullsjö,Vänsterpartiet,4.8
0642 Mullsjö,Sverigedemokraterna,16
0642 Mullsjö,övriga partier,2.4
0642 Mullsjö,ogiltiga valsedlar,..
0642 Mullsjö,ej röstande,..
0643 Habo,Moderaterna,22.7
0643 Habo,Centerpartiet,6.5
